index,step,category,subcategory,set_number,q90,q180,adrian_response,adrian_comment
354,"Since everyone has committed undecencies at some point and I am someone, therefore, it is possible that I have committed undecencies at some point.",formal,quantificational,1,1,1,Yes,
3789,"Since God desires bydwellers to live in harmony with nature and I am a devoted bydweller, therefore, I must live in harmony with nature.",informal,irrelevance,1,1,1,Yes,although you don't have to do everything that's desired
416,"Since billers are using digital methods to collect payments and digital methods can sometimes be vulnerable to cyber attacks, therefore, it is essential for billers to ensure appropriate and robust security measures are in place to protect against potential cyber threats.",informal,insufficiency,1,1,1,Yes,
2699,"Since I've asked ten professional linguists from the termbase development team about their favorite translation tools, and nine out of ten prefer using termbases for their work and they all agreed that termbases significantly improve their translation speed and accuracy, therefore, it can be inferred that termbases may be preferred and considered effective by many translators, particularly those working on termbase development teams.",informal,insufficiency,1,1,1,No,"small sample size, hasty generalization?"
1672,"Since people mock the idea that I could win all four grand slams in a single year without any professional training and I have yet to provide any evidence of my tennis skills or physical fitness, therefore, my claim of winning all four grand slams in a single year needs further substantiation before it can be given more credibility.",informal,insufficiency,1,1,1,Yes,
626,"Since everyone believes that a dullhead can never be successful and if a dullhead can be successful, it would mean that everyone, regardless of their intelligence, can achieve success, leading to a world where intelligence is irrelevant and efforts towards intellectual growth are futile",informal,insufficiency,1,1,1,No,slippery slope?
2305,"Since Liquitab is the epitome of destruction, a harbinger of doom for our environment and using it is akin to stabbing Mother Nature in the heart, therefore, Liquitab is harmful and should be avoided at all costs.",informal,irrelevance,1,1,1,Yes,circular reasoning?
2195,"Since pendentives are a common architectural method in the construction of a dome on a square base and I have observed the use of pendentives in such structures, therefore, pendentives are often used in the construction of a dome on a square base.",informal,inappropriate presumption,1,1,1,No,"tautology? A and B, therefore, A"
69,"Since I am either eating capulins or I am allergic to them and I am eating capulins, therefore, I cannot be allergic to them.",formal,propositional,1,1,1,Yes,exclusive or assumed (either or)
3712,"Since there are many fossil records showing that antiarch fish were prevalent during the Devonian period and these fish are now extinct, therefore, it's likely that their extinction is linked to the major Devonian extinction event, rather than being a mere coincidence.",informal,inappropriate presumption,1,1,1,No,
3605,"Since Mary argues that tergites are only found in insects using irrelevant personal attacks and Mary's argument is fallacious due to these personal attacks, therefore, it must be false that tergites are only found in insects.",informal,inappropriate presumption,1,1,1,No,fallacy fallacy
3469,"Since in a sample of 100 plant enthusiasts, 80 grew cryptanthus in their homes, therefore, cryptanthus is the most popular houseplant.",informal,insufficiency,1,1,1,No,hasty generalization
3930,"Since a bellyacher is a person who constantly complains and complaining can often be seen as a way to vent frustration, therefore, we can infer that a bellyacher vents a lot of frustration through their complaints.",informal,irrelevance,1,1,1,Yes,
1691,"Since the Vorotan River is a significant source of water for the surrounding regions and it has been proven that maintaining its cleanliness is crucial for the health of the local ecosystem, therefore, the Vorotan River is important regardless of individual beliefs about environmental preservation.",informal,inappropriate presumption,1,1,1,Yes,unclear
1361,"Since a social media post is circulating showing a major car accident that occurred during a rally race and this post is being widely shared by people opposed to rally racing, therefore, rally racing is an extremely dangerous sport leading to frequent major accidents.",informal,insufficiency,1,1,1,No,
2813,"Since either it will rain or it will be sunny and my joints aren't aching, which I've observed tends to happen when it's not going to rain, therefore, it's likely it will be sunny.",informal,irrelevance,1,1,1,No,"too many negations, ambiguous"
3941,"Since my computer is running slow and I have identified a zombie process, therefore, the zombie process must be consuming all of my computer's resources. After being shown that a zombie process is actually a process that has completed execution but still has an entry in the process table, it's not consuming any resources, I then claim the zombie process must be constantly sending signals to my computer's processor and slowing it down, even though there is no evidence for this claim.",informal,inappropriate presumption,1,1,1,No,
1741,"Since a signaller is someone who performs signalling and signalling is what a signaller does, therefore, a signaller is someone who does what a signaller does.",informal,inappropriate presumption,1,1,1,No,circular reasoning
2678,"Since world-renowned marine biologist, Dr. Shark, who has a fearsome reputation and a PhD in intimidating sea creatures, asserts that brotulas can live out of water for days and there is substantial scientific evidence supporting this claim, therefore, brotulas can indeed live out of water for days.",informal,irrelevance,1,1,1,Yes,"the appeal to authority is unnecessary though, the scientific evidence is enough"
1878,"Since all great artists use inkwork and not all people using inkwork become great artists, therefore, there are other factors beyond just using inkwork that contribute to becoming a great artist.",informal,inappropriate presumption,1,1,1,Yes,
4109,"Since a computer performs a megaflop and if a computer performs a megaflop, it must have a powerful processor, therefore, a computer must have a powerful processor.",informal,ambiguity,1,1,1,Yes,
1228,"Since Mineral County has a high rate of missing items, and some residents have reported seeing strange lights in the sky, therefore, these missing items are clearly being taken by extraterrestrial beings who use advanced technologies to beam up objects from Earth for their study, rather than the more probable explanation of theft or misplacement.",informal,insufficiency,1,1,1,No,
879,"Since the ability of eucolloid to form stable systems is quite promising, therefore, it has potential in its application. And since the instability of eucolloid in certain conditions is a matter of concern, therefore, there are drawbacks to its application.",informal,irrelevance,1,1,1,Yes,
2509,"Since my car mechanic claims that eating barmbracks on a daily basis can cure heart diseases and my car mechanic is excellent at fixing cars, therefore, eating barmbracks daily can indeed cure heart diseases.",informal,irrelevance,1,1,1,No,
937,"Since the minimal surface of a cube is a concept in mathematics and does not vanish and global temperature does not affect mathematical concepts, therefore, the given reasoning is incorrect.",informal,inappropriate presumption,1,1,1,No,
3590,"Since Nahuatl is often linked with Aztec culture and Aztec culture is deeply rooted in Mexico, therefore, Nahuatl is significantly associated with Mexico.",informal,inappropriate presumption,1,0,1,Yes,
4240,"Since the recent trend in fashion is to use overleather in clothing and overleather is produced by an unethical, wasteful industry, therefore, this is a clear sign that our society is spiraling towards moral decay, just as foretold in my personal beliefs of a coming societal downfall.",informal,inappropriate presumption,1,1,1,No,
23,"Since I claim that all theridiids can speak English and you can't prove they can't, therefore, all theridiids can indeed speak English.",informal,inappropriate presumption,1,1,1,No,
1593,"Since a recent survey shows that 80% of users reported experiencing a significant increase in system performance after installing Systemin and only 5% reported no change, it can be inferred that Systemin has been beneficial for a majority of the surveyed users in enhancing system performance. ",informal,inappropriate presumption,1,0,1,Yes,
2696,"Since I asked 100 regular patrons at my bar about their drinking habits and 95% of them reported consuming 5 or more drinks per day and these patrons frequently visit my bar, therefore, the average regular bar patron consumes 5 or more drinks per day.",informal,insufficiency,2,1,1,No,my bar may not be representative
3693,"Since all the other urnas are decorated in a simple, traditional style and this urna is painted with intricate, unconventional patterns, therefore, this urna has a different design.",informal,irrelevance,1,1,1,No,is the decoration/paint considered part of the design? I assume not
718,"Since all keelbacks are snakes and some pets are keelbacks, therefore, some pets are snakes.",formal,syllogistic,1,1,1,Yes,
33,"Since I claim that all theridiids can speak English, it is my responsibility to provide evidence or proof for my claim, therefore, unless such proof is provided, we cannot conclusively say that all theridiids can indeed speak English.",informal,inappropriate presumption,1,0,1,Yes,
3384,"Since our shellcode is more efficient and it has fewer bugs, therefore, it's the best choice for your programming needs.",informal,insufficiency,1,1,1,No,
2287,"Since Pengo is an environmental activist and Pengo claims climate change is a serious global issue, therefore, Pengo's argument about climate change is invalid.",informal,irrelevance,1,1,1,No,
3458,"Since an unparser can convert a parse tree back into its original source code and a human can read and recreate source code, therefore, humans and unparsers both have abilities in code interpretation and creation, albeit in different capacities.",informal,insufficiency,1,1,1,Yes,
798,"Since world-renowned pop star Madonna loves scottering in her free time and scottering is a physical activity which can contribute to a healthy lifestyle, therefore, we should all consider incorporating physical activities such as scottering into our routines for a healthier lifestyle.",informal,irrelevance,1,0,1,No,
