step,entity,fallacy,label,category,subcategory,tuning,gpt_4o_mini_classification_response
"Since Tim asked John if he had seen his boonk and John remained silent, therefore, John must have taken the boonk.",boonk,Argument from Silence,1,informal,insufficiency,test,Argument from Silence
"Since I asked if wheelbirds can fly and you didn't respond, therefore, wheelbirds can indeed fly.",wheelbirds,Argument from Silence,1,informal,insufficiency,test,Argument from Silence
"Since Farmer Joe claims there are troughs in the barn and Others remain silent when asked for proof, therefore, there must be troughs in the barn.",troughs,Argument from Silence,1,informal,insufficiency,test,Argument from Silence
"Since Electronics Engineer Ethan claims that one nanofarad is the perfect capacitance for the circuit and when asked for evidence, Mary remains silent, therefore, one nanofarad must indeed be the perfect capacitance for the circuit.",nanofarad,Argument from Silence,1,informal,insufficiency,test,Argument from Silence
"Since Megan accuses John of hiding the mamading, but John remains silent and John does not provide a counter-argument or evidence, therefore, John must be hiding the mamading.",mamading,Argument from Silence,1,informal,insufficiency,test,Argument from Silence
"Since I claim that tjets are the most efficient mode of transportation and you cannot prove that they aren't, therefore, tjets are indeed the most efficient mode of transportation.",tjets,Shifting of the Burden of Proof,1,informal,inappropriate presumption,test,Shifting of the Burden of Proof
"Since I declare that the city of Bergamo is the most beautiful city in the world and you cannot prove that it isn't, therefore, Bergamo is the most beautiful city in the world.",bergamo,Shifting of the Burden of Proof,1,informal,inappropriate presumption,test,Shifting of the Burden of Proof
"Since I claim that benzopyran has magical properties that can cure all diseases and you cannot prove that it doesn't, therefore, benzopyran indeed cures all diseases.",benzopyran,Shifting of the Burden of Proof,1,informal,inappropriate presumption,test,Shifting of the Burden of Proof
"Since Lucifer is the source of all evil in the world and you cannot prove that Lucifer is not the source of all evil, therefore, Lucifer is indeed the source of all evil.",lucifer,Shifting of the Burden of Proof,1,informal,inappropriate presumption,test,Shifting of the Burden of Proof
"Since I claim that umbres have magical powers and you cannot prove that they don't, therefore, umbres do have magical powers.",umbres,Shifting of the Burden of Proof,1,informal,inappropriate presumption,test,Shifting of the Burden of Proof
"Since talking about the concept of grossone can be considered politically incorrect because it disrupts conventional mathematical norms and political correctness dictates we should respect and uphold existing norms, therefore, the concept of grossone is false.",grossone,Political Correctness Fallacy,1,informal,irrelevance,test,Political Correctness Fallacy
"Since the Spoffords have a tradition of settling disputes through physical combat and we must respect all cultural traditions due to political correctness, therefore, it is just as acceptable for the Spoffords to engage in violent disputes as it is for us to settle disagreements through peaceful negotiation.",spoffords,Political Correctness Fallacy,1,informal,irrelevance,test,Political Correctness Fallacy
"Since seining is a traditional fishing method used by various cultures and all cultural practices must be seen as equally respectful due to political correctness, therefore, seining, despite its potential harm to marine ecosystems, is just as acceptable as sustainable fishing methods.",seining,Political Correctness Fallacy,1,informal,irrelevance,test,Political Correctness Fallacy
"Since solanine is a natural compound found in nightshade family plants and all natural compounds are beneficial because it's politically incorrect to discriminate between natural compounds, therefore, solanine is beneficial for human consumption.",solanine,Political Correctness Fallacy,1,informal,irrelevance,test,Political Correctness Fallacy
"Since the diocesan community is diverse and includes people from all backgrounds and political correctness dictates that all religious beliefs should be respected equally, therefore, the belief of a diocesan member in practicing witchcraft must be as acceptable as the belief of another member in daily prayer.",diocesan,Political Correctness Fallacy,1,informal,irrelevance,test,Political Correctness Fallacy
"Since ghetto fences are either a symbol of separation or a means of security and ghetto fences are a symbol of separation, therefore, ghetto fences cannot be a means of security.",ghetto fences,Affirming a Disjunct,1,formal,propositional,test,Affirming a Disjunct
