step,entity,fallacy,label,category,subcategory,gpt_4o_response,gpt_4_response,gpt_4o_mini_response,claude_3_5_sonnet_response,claude_3_haiku_response,gemini_1_5_pro_response,gemini_1_5_flash_8b_response,o1_preview_response
"Since John asked Maria if she used the last of the tepas and she remained silent, therefore, Maria must have used the last of the tepas.",tepas,Argument from Silence,1,informal,insufficiency,Argument from Silence,Argument from Silence,Affirming the Consequent,Argument from Silence,Denying the Antecedent,Argument from Silence,Argument from Silence,Argument from Silence
"Since Alice asked if Bob knew what an 'ossia' was in a musical score and Bob remained silent, therefore, Bob must surely be knowledgeable about 'ossia' and its use in music.",ossia,Argument from Silence,1,informal,insufficiency,Argument from Silence,Argument from Silence,Affirming the Consequent,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence
"Since Alice claims that the Hausdorff contents can be used to measure the size of a fractal and Bob remains silent when asked about his opinion, therefore, the Hausdorff contents must indeed be used to measure the size of a fractal.",hausdorff contents,Argument from Silence,1,informal,insufficiency,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence
"Since Tom, a seasoned tugboater, said that iceberg collisions are a significant risk for tugboaters and no one else provided any counter-argument, therefore, it must be true that iceberg collisions are a significant risk for tugboaters.",tugboaters,Argument from Silence,1,informal,insufficiency,Argument from Silence,(79) Appeal to Authority,Appeal to Authority,Appeal to Authority,Appeal to Authority,Appeal to Authority,Appeal to Authority,Argument from Silence
"Since John accuses Mary of being terrified of the beewolf, and Mary remains silent without providing any evidence, therefore, Mary must indeed be terrified of the beewolf.",beewolf,Argument from Silence,1,informal,insufficiency,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence
"Since Tim asked John if he had seen his boonk and John remained silent, therefore, John must have taken the boonk.",boonk,Argument from Silence,1,informal,insufficiency,Argument from Silence,Argument from Silence,Denying the Antecedent,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence
"Since I asked if wheelbirds can fly and you didn't respond, therefore, wheelbirds can indeed fly.",wheelbirds,Argument from Silence,1,informal,insufficiency,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,"The type of fallacy in the given reasoning step is Argument from Silence, also known as Argument from Ignorance.",Argument from Silence,Affirming a Disjunct,Argument from Silence
"Since Farmer Joe claims there are troughs in the barn and Others remain silent when asked for proof, therefore, there must be troughs in the barn.",troughs,Argument from Silence,1,informal,insufficiency,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,The type of fallacy in the given reasoning step is Argument from Silence.,Argument from Silence,Argument from Ignorance,Argument from Silence
"Since Electronics Engineer Ethan claims that one nanofarad is the perfect capacitance for the circuit and when asked for evidence, Mary remains silent, therefore, one nanofarad must indeed be the perfect capacitance for the circuit.",nanofarad,Argument from Silence,1,informal,insufficiency,Argument from Silence,Argument from Silence,Appeal to Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence
"Since Megan accuses John of hiding the mamading, but John remains silent and John does not provide a counter-argument or evidence, therefore, John must be hiding the mamading.",mamading,Argument from Silence,1,informal,insufficiency,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence,Argument from Silence
"Since I claim that quiddits are invisible creatures from another dimension and you cannot prove that quiddits are not invisible creatures from another dimension, therefore, quiddits are indeed invisible creatures from another dimension.",quiddits,Shifting of the Burden of Proof,1,informal,inappropriate presumption,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,The type of fallacy in the given reasoning step is Argument from Ignorance (201).,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance
"Since I claim that there is a magical genie living inside this cocoon and you cannot prove otherwise, therefore, there is indeed a magical genie living inside this cocoon.",cacoon,Shifting of the Burden of Proof,1,informal,inappropriate presumption,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance
"Since I claim that zarazuas are mythical creatures from another dimension and you cannot provide evidence to disprove my claim, therefore, zarazuas are indeed mythical creatures from another dimension.",zarazuas,Shifting of the Burden of Proof,1,informal,inappropriate presumption,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance
"Since I claim that all theridiids can speak English and you can't prove they can't, therefore, all theridiids can indeed speak English.",theridiids,Shifting of the Burden of Proof,1,informal,inappropriate presumption,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance
"Since I claim that larrisons are magical creatures that can turn invisible at will and you can't prove they aren't, therefore, larrisons are indeed magical creatures that can turn invisible at will.",larrisons,Shifting of the Burden of Proof,1,informal,inappropriate presumption,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance
"Since I claim that tjets are the most efficient mode of transportation and you cannot prove that they aren't, therefore, tjets are indeed the most efficient mode of transportation.",tjets,Shifting of the Burden of Proof,1,informal,inappropriate presumption,Shifting of the Burden of Proof,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance
"Since I declare that the city of Bergamo is the most beautiful city in the world and you cannot prove that it isn't, therefore, Bergamo is the most beautiful city in the world.",bergamo,Shifting of the Burden of Proof,1,informal,inappropriate presumption,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance,Shifting of the Burden of Proof,The type of fallacy in the given reasoning step is Argument from Ignorance (201).,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance
"Since I claim that benzopyran has magical properties that can cure all diseases and you cannot prove that it doesn't, therefore, benzopyran indeed cures all diseases.",benzopyran,Shifting of the Burden of Proof,1,informal,inappropriate presumption,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance
"Since Lucifer is the source of all evil in the world and you cannot prove that Lucifer is not the source of all evil, therefore, Lucifer is indeed the source of all evil.",lucifer,Shifting of the Burden of Proof,1,informal,inappropriate presumption,Shifting of the Burden of Proof,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,The type of fallacy in the given reasoning step is Argument from Ignorance (201).,Argument from Ignorance,Argument from Ignorance,Begging the Question
